code,category,name,price,currency,rating,rating_count,store_type,url,url_picture
100210860297,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK8617P, бежевый",4252,RUR,4.5,466,Беру,https://beru.ru/product/chainik-bosch-twk-8611-8612-8613-8614-8617-8619/100210860297,https://avatars.mds.yandex.net/get-mpic/1750207/img_id5226373735194018309.jpeg/orig
100210860297,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK8617P, бежевый",4120,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-8611-8612-8613-8614-8617-8619/100210860297,https://avatars.mds.yandex.net/get-mpic/1750207/img_id5226373735194018309.jpeg/orig
100210860306,Электрочайники и термопоты/Braun,"Чайник Braun WK 500, черный",2379,RUR,4,36,Беру,https://beru.ru/product/chainik-braun-wk-500/100210860306,https://avatars.mds.yandex.net/get-mpic/1081556/img_id8779810842426769167.jpeg/orig
100210860306,Электрочайники и термопоты/Braun,"Чайник Braun WK 500, черный",2390,RUR,0,0,Беру,https://beru.ru/product/chainik-braun-wk-500/100210860306,https://avatars.mds.yandex.net/get-mpic/1081556/img_id8779810842426769167.jpeg/orig
100210860309,Электрочайники и термопоты/REDMOND,"Термопот REDMOND RTP-M801, серый",5241,RUR,0,0,Беру,https://beru.ru/product/termopot-redmond-rtp-m801/100210860309,https://avatars.mds.yandex.net/get-mpic/372220/img_id8871850053277996806.jpeg/orig
100210860317,Электрочайники и термопоты/Braun,"Чайник Braun WK 300 (2011), кремовый",2990,RUR,0,0,Беру,https://beru.ru/product/chainik-braun-wk-300-2011/100210860317,https://avatars.mds.yandex.net/get-mpic/1603927/img_id5831212894005713469/orig
100210860348,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK 3A017, бежевый",1970,RUR,4.5,251,Беру,https://beru.ru/product/chainik-bosch-twk-3a011-3a013-3a014-3a017/100210860348,https://avatars.mds.yandex.net/get-mpic/466729/img_id4056588567336087924/orig
100210860348,Электрочайники и термопоты/Bosch,"Чайник Bosch TWK 3A017, бежевый",1790,RUR,0,0,Беру,https://beru.ru/product/chainik-bosch-twk-3a011-3a013-3a014-3a017/100210860348,https://avatars.mds.yandex.net/get-mpic/466729/img_id4056588567336087924/orig
100210860361,Электрочайники и термопоты/Tefal,"Чайник Tefal BF 9252 Silver Ion, желтый",2190,RUR,0,0,Беру,https://beru.ru/product/chainik-tefal-bf-9252-silver-ion/100210860361,https://avatars.mds.yandex.net/get-mpic/199079/img_id4114739539655965913/orig
100210860366,Электрочайники и термопоты/Tefal,"Чайник Tefal KO 2701 Aqua II, белый",1719,RUR,4.5,20,Беру,https://beru.ru/product/chainik-tefal-ko-2701-aqua-ii/100210860366,https://avatars.mds.yandex.net/get-mpic/1374520/img_id5628544718947196915.jpeg/orig
